slashie_10_17643_99.cpp,1,84,16,70,0,14,5.00,0.00,5.00,0.83,70,0,14
Aleks_11_7490_70.cpp,1,35,16,34,0,1,34.00,0.00,34.00,0.97,34,0,1
vinhphu1711_12_18642_27.cpp,1,74,15,73,1,0,73.00,73.00,0.00,0.99,73,1,0
4TShirt_11_10256_40.cpp,1,92,14,89,0,3,29.67,0.00,29.67,0.97,89,0,3
void.aman93_14_3515_39.cpp,1,83,20,74,1,8,8.22,74.00,9.25,0.89,74,1,8
anhpp_09_6594_56.cpp,1,54,18,49,2,3,9.80,24.50,16.33,0.91,49,2,3
lostyzd_13_10596_115.cc,1,52,17,44,0,8,5.50,0.00,5.50,0.85,44,0,8
felix0425_09_12852_76.c,1,79,20,75,0,4,18.75,0.00,18.75,0.95,75,0,4
Migs_10_15108_40.cpp,1,59,21,55,5,1,9.17,11.00,55.00,0.93,55,5,1
reberetta_10_11394_43.c,1,63,12,39,2,22,1.62,19.50,1.77,0.62,39,2,22
cedriclin_14_2146_90.cpp,1,31,16,26,0,5,5.20,0.00,5.20,0.84,26,0,5
tim_09_19092_10.cpp,1,84,14,56,15,13,2.00,3.73,4.31,0.67,56,15,13
0xfd_14_13219_66.cpp,1,94,20,68,3,24,2.52,22.67,2.83,0.72,68,3,24
kouri128_11_6569_100.cpp,1,27,14,22,0,5,4.40,0.00,4.40,0.81,22,0,5
rishabhsanklecha_09_14778_99.cpp,1,127,26,100,5,22,3.70,20.00,4.55,0.79,100,5,22
Mathlover_12_15797_75.cpp,1,74,19,59,0,15,3.93,0.00,3.93,0.80,59,0,15
bood_14_12246_50.cpp,1,53,18,46,0,7,6.57,0.00,6.57,0.87,46,0,7
flurrymin_14_15873_41.cpp,1,46,17,42,0,4,10.50,0.00,10.50,0.91,42,0,4
mosy1991_12_6777_20.cpp,1,71,15,64,1,6,9.14,64.00,10.67,0.90,64,1,6
mgoffan_12_7704_45.cpp,1,64,22,52,7,5,4.33,7.43,10.40,0.81,52,7,5
arkadyark_14_16477_39.c,1,37,8,25,0,12,2.08,0.00,2.08,0.68,25,0,12
rajat.ag12_09_16714_38.cpp,1,60,15,50,3,7,5.00,16.67,7.14,0.83,50,3,7
Pedro.Bello_09_7093_16.cpp,1,68,11,52,0,16,3.25,0.00,3.25,0.76,52,0,16
BlueGene_14_3302_70.cpp,1,111,21,104,0,7,14.86,0.00,14.86,0.94,104,0,7
bbb_14_14270_55.cpp,1,33,18,32,0,1,32.00,0.00,32.00,0.97,32,0,1
Ygge_09_7219_38.cpp,1,45,18,41,0,4,10.25,0.00,10.25,0.91,41,0,4
cedriclin_14_2150_100.cpp,1,58,19,49,0,9,5.44,0.00,5.44,0.84,49,0,9
londonstartuptech_12_18826_45.cpp,1,49,17,45,1,4,9.00,45.00,11.25,0.92,45,1,4
zBard_13_2417_10.c,1,73,16,51,6,16,2.32,8.50,3.19,0.70,51,6,16
Louty_11_9480_100.cpp,1,40,21,33,2,5,4.71,16.50,6.60,0.82,33,2,5
Shougun_12_15556_28.cpp,1,106,11,77,11,18,2.66,7.00,4.28,0.73,77,11,18
Ahmed.Gamal_13_12420_40.cpp,1,85,22,82,3,0,27.33,27.33,0.00,0.96,82,3,0
paulocezar_12_7648_20.cpp,1,134,15,83,0,51,1.63,0.00,1.63,0.62,83,0,51
eatmulch_12_15449_35.cpp,1,35,22,30,2,3,6.00,15.00,10.00,0.86,30,2,3
Mamsaac_10_17201_66.cpp,1,22,20,18,1,3,4.50,18.00,6.00,0.82,18,1,3
Siegrift_12_18325_35.cpp,1,133,16,115,0,18,6.39,0.00,6.39,0.86,115,0,18
urmib_13_8124_40.cpp,1,82,17,77,6,5,7.00,12.83,15.40,0.94,77,6,5
aknow_09_657_16.cpp,1,78,18,63,3,13,3.94,21.00,4.85,0.81,63,3,13
litstrong_09_10651_99.cpp,1,74,15,57,12,7,3.00,4.75,8.14,0.77,57,12,7
