#filename;number_of_modules;lines_of_code;lines_of_code_per_module;McCabes_cyclomatic_complexity;McCabes_cyclomatic_complexity_per_module;lines_of_comment;lines_of_comment_per_module;lines_of_code_per_line_of_comment;McCabes_cyclomatic_complexity_per_line_of_comment;IF4;IF4_per_module;IF4_visible;IF4_visible_per_module;IF4_concrete;IF4_concrete;rejected_lines_of_code
csvs/08_10662_5.csv;1;81;81.000;13;13.000;11;11.000;7.364;1.182;0;0.000;0;0.000;0;0.000;1
csvs/08_10751_55.csv;1;86;86.000;18;18.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_10757_55.csv;1;78;78.000;13;13.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;6
csvs/08_10764_55.csv;1;78;78.000;13;13.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;6
csvs/08_10770_55.csv;1;118;118.000;19;19.000;5;5.000;23.600;3.800;0;0.000;0;0.000;0;0.000;4
csvs/08_10776_55.csv;1;117;117.000;19;19.000;5;5.000;23.400;3.800;0;0.000;0;0.000;0;0.000;4
csvs/08_10782_15.csv;1;29;29.000;2;2.000;0;0.000;******;------;0;0.000;0;0.000;0;0.000;8
csvs/08_10789_15.csv;1;42;42.000;14;14.000;6;6.000;7.000;2.333;0;0.000;0;0.000;0;0.000;8
csvs/08_10878_50.csv;1;64;64.000;20;20.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_10881_50.csv;1;64;64.000;20;20.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_10887_50.csv;1;71;71.000;21;21.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_10892_50.csv;1;71;71.000;21;21.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_10934_50.csv;2;108;54.000;24;12.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;1
csvs/08_10938_50.csv;2;108;54.000;24;12.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;1
csvs/08_10942_50.csv;3;125;41.667;24;8.000;4;1.333;31.250;6.000;0;0.000;0;0.000;0;0.000;1
csvs/08_10947_50.csv;3;125;41.667;24;8.000;4;1.333;31.250;6.000;0;0.000;0;0.000;0;0.000;1
csvs/08_10972_50.csv;1;49;49.000;12;12.000;1;1.000;49.000;12.000;0;0.000;0;0.000;0;0.000;0
csvs/08_10979_50.csv;1;49;49.000;12;12.000;1;1.000;49.000;12.000;0;0.000;0;0.000;0;0.000;0
csvs/08_10986_50.csv;2;51;25.500;10;5.000;1;0.500;51.000;10.000;0;0.000;0;0.000;0;0.000;0
csvs/08_10993_50.csv;2;51;25.500;10;5.000;1;0.500;51.000;10.000;0;0.000;0;0.000;0;0.000;0
csvs/08_11007_15.csv;1;29;29.000;1;1.000;0;0.000;******;------;0;0.000;0;0.000;0;0.000;2
csvs/08_11114_50.csv;1;32;32.000;8;8.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;30
csvs/08_11121_50.csv;1;32;32.000;8;8.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;30
csvs/08_11139_15.csv;0;28;******;6;******;0;******;******;******;0;********;0;********;0;********;28
csvs/08_11144_15.csv;0;28;******;6;******;0;******;******;******;0;********;0;********;0;********;28
csvs/08_11154_30.csv;1;63;63.000;13;13.000;3;3.000;21.000;4.333;0;0.000;0;0.000;0;0.000;1
csvs/08_11158_30.csv;1;63;63.000;13;13.000;3;3.000;21.000;4.333;0;0.000;0;0.000;0;0.000;1
csvs/08_11166_30.csv;3;104;34.667;25;8.333;8;2.667;13.000;3.125;0;0.000;0;0.000;0;0.000;1
csvs/08_11169_5.csv;1;42;42.000;8;8.000;2;2.000;21.000;4.000;0;0.000;0;0.000;0;0.000;1
csvs/08_11243_25.csv;1;37;37.000;2;2.000;110;110.000;0.336;------;0;0.000;0;0.000;0;0.000;12
csvs/08_11249_25.csv;1;37;37.000;2;2.000;111;111.000;0.333;------;0;0.000;0;0.000;0;0.000;12
csvs/08_11255_15.csv;1;35;35.000;2;2.000;3;3.000;11.667;------;0;0.000;0;0.000;0;0.000;6
csvs/08_11260_15.csv;0;7;******;0;******;0;******;------;------;0;********;0;********;0;********;7
csvs/08_1126_25.csv;1;26;26.000;7;7.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_11278_50.csv;1;45;45.000;8;8.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;7
csvs/08_11283_50.csv;1;45;45.000;8;8.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;7
csvs/08_11289_50.csv;1;72;72.000;34;34.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_11296_50.csv;1;72;72.000;34;34.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_11302_40.csv;1;23;23.000;5;5.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;2
csvs/08_11306_40.csv;1;71;71.000;17;17.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_11312_40.csv;1;71;71.000;17;17.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_11318_25.csv;1;53;53.000;18;18.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_11325_25.csv;1;53;53.000;18;18.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_11331_25.csv;1;27;27.000;12;12.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_11337_25.csv;1;39;39.000;10;10.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_1134_25.csv;1;26;26.000;7;7.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_11343_15.csv;1;44;44.000;19;19.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_11349_15.csv;1;27;27.000;10;10.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;2
csvs/08_11370_50.csv;1;61;61.000;16;16.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_11374_50.csv;1;61;61.000;16;16.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_11379_50.csv;1;82;82.000;20;20.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_11385_50.csv;1;82;82.000;20;20.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_11391_75.csv;1;24;24.000;5;5.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_11395_75.csv;1;24;24.000;5;5.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_11402_75.csv;1;59;59.000;15;15.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;2
csvs/08_11409_75.csv;1;71;71.000;13;13.000;1;1.000;71.000;13.000;0;0.000;0;0.000;0;0.000;10
csvs/08_11416_75.csv;1;75;75.000;14;14.000;1;1.000;75.000;14.000;0;0.000;0;0.000;0;0.000;10
csvs/08_11438_50.csv;1;77;77.000;21;21.000;2;2.000;38.500;10.500;0;0.000;0;0.000;0;0.000;6
csvs/08_11445_50.csv;1;77;77.000;21;21.000;2;2.000;38.500;10.500;0;0.000;0;0.000;0;0.000;6
csvs/08_11450_50.csv;1;100;100.000;31;31.000;8;8.000;12.500;3.875;0;0.000;0;0.000;0;0.000;5
csvs/08_11456_50.csv;1;100;100.000;31;31.000;8;8.000;12.500;3.875;0;0.000;0;0.000;0;0.000;5
csvs/08_11462_5.csv;1;40;40.000;3;3.000;13;13.000;3.077;------;0;0.000;0;0.000;0;0.000;1
csvs/08_11469_5.csv;1;42;42.000;4;4.000;2;2.000;21.000;------;0;0.000;0;0.000;0;0.000;1
csvs/08_11592_50.csv;1;46;46.000;11;11.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;0
csvs/08_11598_50.csv;1;45;45.000;11;11.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;0
csvs/08_11604_50.csv;1;85;85.000;25;25.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;0
csvs/08_11608_50.csv;1;81;81.000;25;25.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;0
csvs/08_11612_15.csv;1;32;32.000;8;8.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;0
csvs/08_1161_50.csv;1;51;51.000;19;19.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_11617_15.csv;1;33;33.000;8;8.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;0
csvs/08_11663_50.csv;2;24;12.000;3;1.500;28;14.000;0.857;------;0;0.000;0;0.000;0;0.000;2
csvs/08_11664_50.csv;2;8;4.000;0;0.000;15;7.500;------;------;0;0.000;0;0.000;0;0.000;0
csvs/08_11666_50.csv;0;103;******;0;******;40;******;2.575;------;0;********;0;********;0;********;103
csvs/08_11667_50.csv;7;192;27.429;21;3.000;74;10.571;2.595;0.284;0;0.000;0;0.000;0;0.000;1
csvs/08_11670_50.csv;0;0;******;0;******;0;******;------;------;0;********;0;********;0;********;0
csvs/08_11671_50.csv;0;0;******;0;******;0;******;------;------;0;********;0;********;0;********;0
csvs/08_11674_50.csv;6;21;3.500;0;0.000;20;3.333;1.050;------;0;0.000;0;0.000;0;0.000;0
csvs/08_1167_50.csv;1;51;51.000;19;19.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_11683_50.csv;2;24;12.000;3;1.500;28;14.000;0.857;------;0;0.000;0;0.000;0;0.000;2
csvs/08_11684_50.csv;2;8;4.000;0;0.000;15;7.500;------;------;0;0.000;0;0.000;0;0.000;0
csvs/08_11686_50.csv;0;103;******;0;******;40;******;2.575;------;0;********;0;********;0;********;103
