#file_name;cnt_classes;max_member_funs;max_nested_loops;max_nesting_depth;max_params_in_decl;member_funs;member_vars;min_member_funs
51isoft_10_5868_70.srcml;0.000000;0.000000;3.000000;4.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_10_5871_70.srcml;0.000000;0.000000;2.000000;3.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_10_5874_70.srcml;0.000000;0.000000;2.000000;3.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_10_5877_70.srcml;0.000000;0.000000;1.000000;2.000000;1.000000;0.000000;0.000000;150000.000000
51isoft_10_5881_16.srcml;0.000000;0.000000;3.000000;4.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_10_5885_16.srcml;0.000000;0.000000;4.000000;5.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_11_7981_70.srcml;0.000000;0.000000;2.000000;3.000000;1.000000;0.000000;0.000000;150000.000000
51isoft_11_7986_70.srcml;0.000000;0.000000;2.000000;3.000000;1.000000;0.000000;0.000000;150000.000000
51isoft_11_7989_70.srcml;0.000000;0.000000;2.000000;3.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_11_7992_70.srcml;0.000000;0.000000;2.000000;3.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_11_7994_70.srcml;0.000000;0.000000;2.000000;3.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_11_7996_70.srcml;0.000000;0.000000;2.000000;3.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_11_7998_35.srcml;0.000000;0.000000;3.000000;4.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_11_8001_35.srcml;0.000000;0.000000;3.000000;4.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_11_8003_35.srcml;0.000000;0.000000;2.000000;3.000000;1.000000;0.000000;0.000000;150000.000000
51isoft_11_8005_39.srcml;0.000000;0.000000;2.000000;3.000000;2.000000;0.000000;0.000000;150000.000000
51isoft_11_8008_39.srcml;0.000000;0.000000;2.000000;3.000000;2.000000;0.000000;0.000000;150000.000000
51isoft_11_8011_39.srcml;0.000000;0.000000;4.000000;5.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_11_8014_39.srcml;0.000000;0.000000;1.000000;2.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_12_7072_60.srcml;0.000000;0.000000;2.000000;3.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_12_7074_60.srcml;0.000000;0.000000;2.000000;3.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_12_7075_60.srcml;0.000000;0.000000;2.000000;3.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_12_7076_60.srcml;0.000000;0.000000;3.000000;4.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_12_7078_60.srcml;0.000000;0.000000;3.000000;4.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_12_7080_28.srcml;0.000000;0.000000;3.000000;4.000000;0.000000;0.000000;0.000000;150000.000000
51isoft_12_7082_28.srcml;0.000000;0.000000;3.000000;4.000000;0.000000;0.000000;0.000000;150000.000000
6am6yk_12_13133_45.srcml;0.000000;0.000000;1.000000;2.000000;2.000000;0.000000;0.000000;150000.000000
6am6yk_12_13135_45.srcml;0.000000;0.000000;0.000000;2.000000;2.000000;0.000000;0.000000;150000.000000
6am6yk_12_13139_45.srcml;0.000000;0.000000;0.000000;2.000000;2.000000;0.000000;0.000000;150000.000000
6am6yk_12_13144_45.srcml;0.000000;0.000000;2.000000;3.000000;2.000000;0.000000;0.000000;150000.000000
74mz4_12_17407_25.srcml;0.000000;0.000000;1.000000;2.000000;2.000000;0.000000;0.000000;150000.000000
74mz4_12_17409_25.srcml;0.000000;0.000000;2.000000;3.000000;3.000000;0.000000;0.000000;150000.000000
9wy_08_1154_50.srcml;0.000000;0.000000;3.000000;4.000000;0.000000;0.000000;0.000000;150000.000000
9wy_08_1157_50.srcml;0.000000;0.000000;3.000000;4.000000;0.000000;0.000000;0.000000;150000.000000
9wy_08_1160_50.srcml;0.000000;0.000000;2.000000;3.000000;4.000000;0.000000;0.000000;150000.000000
9wy_08_1163_50.srcml;0.000000;0.000000;2.000000;3.000000;4.000000;0.000000;0.000000;150000.000000
9wy_08_1167_5.srcml;0.000000;0.000000;2.000000;3.000000;3.000000;0.000000;0.000000;150000.000000
9wy_08_1172_5.srcml;0.000000;0.000000;2.000000;3.000000;3.000000;0.000000;0.000000;150000.000000
9wy_10_1556_53.srcml;0.000000;0.000000;1.000000;2.000000;2.000000;0.000000;0.000000;150000.000000
9wy_10_1559_53.srcml;0.000000;0.000000;1.000000;2.000000;2.000000;0.000000;0.000000;150000.000000
9wy_10_1563_53.srcml;0.000000;0.000000;3.000000;4.000000;2.000000;0.000000;0.000000;150000.000000
9wy_10_1567_53.srcml;0.000000;0.000000;3.000000;4.000000;2.000000;0.000000;0.000000;150000.000000
9wy_10_1571_22.srcml;0.000000;0.000000;3.000000;4.000000;2.000000;0.000000;0.000000;150000.000000
9wy_10_1576_22.srcml;0.000000;0.000000;3.000000;4.000000;2.000000;0.000000;0.000000;150000.000000
a9108_10_1451_99.srcml;0.000000;0.000000;1.000000;2.000000;0.000000;0.000000;0.000000;150000.000000
a9108_10_1457_99.srcml;0.000000;0.000000;1.000000;2.000000;0.000000;0.000000;0.000000;150000.000000
